Month	Year	Rainfall	WPI	Crop	Season	Prev_Month_WPI	Temperature
1	2018	19.2	124.3	Tomato	3	126.4	18.28814544
2	2018	20.1	127.1	Tomato	3	124.3	18.71465701
3	2018	27.1	129.9	Tomato	2	127.1	30.81796498
4	2018	40.2	132.4	Tomato	2	129.9	29.86556117
5	2018	62.7	135.8	Tomato	2	132.4	30.38617231
6	2018	165	138.9	Tomato	0	135.8	33.8935732
7	2018	286.3	142.3	Tomato	0	138.9	33.48784634
8	2018	254.3	145.6	Tomato	0	142.3	19.78532458
9	2018	171.9	143.2	Tomato	0	145.6	24.19703772
10	2018	77.2	140.7	Tomato	1	143.2	21.56794409
11	2018	28.1	148.9	Tomato	1	140.7	18.66065583
12	2018	14.1	153.2	Tomato	3	148.9	29.6383543
4	2012	47.5	78.4	SweetPotato	2	112.5925926	32.9871268
5	2012	31.7	79.8	SweetPotato	2	78.4	18.52267629
6	2012	117.8	81.2	SweetPotato	0	79.8	22.52060089
7	2012	250.2	83.5	SweetPotato	0	81.2	21.73173044
8	2012	262.4	86.9	SweetPotato	0	83.5	18.15686455
9	2012	193.5	85.2	SweetPotato	0	86.9	29.90117708
10	2012	58.7	82.6	SweetPotato	1	85.2	21.82645736
11	2012	30.7	80.9	SweetPotato	1	82.6	21.33710873
12	2012	11.7	79.3	SweetPotato	3	80.9	28.98977761
1	2013	11.3	78.7	SweetPotato	3	79.3	22.5543486
2	2013	40.1	80.4	SweetPotato	3	78.7	19.63678601
3	2013	15.7	82.9	SweetPotato	2	80.4	20.50546438
4	2013	30.4	85.6	SweetPotato	2	82.9	21.11452349
5	2013	57.8	88.3	SweetPotato	2	85.6	32.35671155
6	2013	219.8	91.7	SweetPotato	0	88.3	31.7029056
7	2013	310	94.8	SweetPotato	0	91.7	19.44792988
8	2013	254.7	92.5	SweetPotato	0	94.8	19.98371387
9	2013	152.7	89.7	SweetPotato	0	92.5	30.09854815
10	2013	129.4	87.3	SweetPotato	1	89.7	19.93944447
11	2013	14	85.9	SweetPotato	1	87.3	30.84534427
12	2013	6.7	84.6	SweetPotato	3	85.9	24.16366024
1	2014	19.2	86.8	SweetPotato	3	84.6	34.40024466
2	2014	27.4	89.5	SweetPotato	3	86.8	27.42120859
3	2014	36.1	93.7	SweetPotato	2	89.5	29.34243339
4	2014	22.2	97.8	SweetPotato	2	93.7	30.83122925
5	2014	72.9	101.4	SweetPotato	2	97.8	28.82085987
6	2014	95.4	104.9	SweetPotato	0	101.4	18.17834645
7	2014	261.2	109.3	SweetPotato	0	104.9	19.11484975
8	2014	237.5	112.8	SweetPotato	0	109.3	25.62506234
9	2014	188	110.2	SweetPotato	0	112.8	34.72310704
10	2014	60.2	107.4	SweetPotato	1	110.2	20.47125282
11	2014	14.4	104.9	SweetPotato	1	107.4	22.16391797
12	2014	10.7	102.6	SweetPotato	3	104.9	21.29033697
1	2015	17.4	105.8	SweetPotato	3	102.6	29.82151154
2	2015	21	108.9	SweetPotato	3	105.8	27.49937909
3	2015	62	112.3	SweetPotato	2	108.9	26.23923223
4	2015	69.4	115.6	SweetPotato	2	112.3	24.33213651
5	2015	53.8	118.9	SweetPotato	2	115.6	32.55618339
6	2015	192.8	122.7	SweetPotato	0	118.9	23.06897731
7	2015	242.4	125.9	SweetPotato	0	122.7	33.14321543
8	2015	205.2	123.8	SweetPotato	0	125.9	18.31510129
9	2015	131.8	120.9	SweetPotato	0	123.8	33.02871101
10	2015	42.9	118.3	SweetPotato	1	120.9	32.75253396
11	2015	39.4	115.8	SweetPotato	1	118.3	18.75682596
12	2015	15	113.5	SweetPotato	3	115.8	31.94610888
1	2016	19.3	111.4	SweetPotato	3	113.5	31.90051333
2	2016	22.8	114.7	SweetPotato	3	111.4	22.41702735
3	2016	27.6	118.3	SweetPotato	2	114.7	29.10024391
4	2016	37.4	121.9	SweetPotato	2	118.3	27.79259332
5	2016	62.6	125.6	SweetPotato	2	121.9	22.18082145
6	2016	168.3	129.4	SweetPotato	0	125.6	26.93041286
7	2016	289.1	133.2	SweetPotato	0	129.4	18.58718743
8	2016	256.3	130.9	SweetPotato	0	133.2	19.39194236
9	2016	171.9	127.8	SweetPotato	0	130.9	29.12207062
10	2016	76.1	124.9	SweetPotato	1	127.8	33.6789616
11	2016	29.7	122.1	SweetPotato	1	124.9	33.51486323
12	2016	14.9	119.8	SweetPotato	3	122.1	28.96962964
1	2017	19	117.5	SweetPotato	3	119.8	26.65210109
2	2017	22.6	120.9	SweetPotato	3	117.5	29.60008583
3	2017	27.8	124.6	SweetPotato	2	120.9	33.88344078
4	2017	37.9	128.2	SweetPotato	2	124.6	28.22367541
5	2017	62.4	131.9	SweetPotato	2	128.2	19.4944748
6	2017	168.1	135.7	SweetPotato	0	131.9	19.98193552
7	2017	289.3	139.6	SweetPotato	0	135.7	22.29656977
8	2017	256.2	137.2	SweetPotato	0	139.6	33.3355352
9	2017	171.5	134.1	SweetPotato	0	137.2	25.39260152
10	2017	76.3	130.9	SweetPotato	1	134.1	23.87466333
11	2017	29.9	127.8	SweetPotato	1	130.9	25.82104652
12	2017	15	124.9	SweetPotato	3	127.8	33.05223748
1	2018	19.2	122.1	SweetPotato	3	124.9	19.54317718
2	2018	20.1	125.7	SweetPotato	3	122.1	20.34663494
3	2018	27.1	129.4	SweetPotato	2	125.7	24.08136129
4	2018	40.2	133.1	SweetPotato	2	129.4	33.14494112
5	2018	62.7	137.2	SweetPotato	2	133.1	28.69443289
6	2018	165	141.3	SweetPotato	0	137.2	20.8637316
7	2018	286.3	145.6	SweetPotato	0	141.3	26.42293003
8	2018	254.3	148.9	SweetPotato	0	145.6	21.57115604
9	2018	171.9	146.1	SweetPotato	0	148.9	18.25427571
10	2018	77.2	143.2	SweetPotato	1	146.1	30.21688149
11	2018	28.1	152.4	SweetPotato	1	143.2	32.88407609
12	2018	14.1	157.8	SweetPotato	3	152.4	30.51906196
4	2012	47.5	108.2	Sunflower	2	248.1975309	26.68117392
5	2012	31.7	109.6	Sunflower	2	108.2	27.79986457
6	2012	117.8	111.4	Sunflower	0	109.6	18.31815867
7	2012	250.2	114.3	Sunflower	0	111.4	18.00701557
8	2012	262.4	117.6	Sunflower	0	114.3	30.74616288
9	2012	193.5	119.8	Sunflower	0	117.6	26.69437064
10	2012	58.7	121.9	Sunflower	1	119.8	26.5362865
11	2012	30.7	123.7	Sunflower	1	121.9	28.89018141
12	2012	11.7	125.4	Sunflower	3	123.7	20.36260764
1	2013	11.3	127.3	Sunflower	3	125.4	28.49955426
2	2013	40.1	129.6	Sunflower	3	127.3	25.86929046
3	2013	15.7	132.1	Sunflower	2	129.6	29.10038542
4	2013	30.4	134.8	Sunflower	2	132.1	24.94180089
5	2013	57.8	137.6	Sunflower	2	134.8	19.97995106
6	2013	219.8	140.7	Sunflower	0	137.6	29.67342062
7	2013	310	144.1	Sunflower	0	140.7	34.05828798
8	2013	254.7	147.2	Sunflower	0	144.1	32.8062434
9	2013	152.7	150.1	Sunflower	0	147.2	33.82123954
10	2013	129.4	153.2	Sunflower	1	150.1	22.90443836
11	2013	14	156.3	Sunflower	1	153.2	25.59888741
12	2013	6.7	159.2	Sunflower	3	156.3	31.33672154
1	2014	19.2	162.4	Sunflower	3	159.2	20.91066439
2	2014	27.4	165.7	Sunflower	3	162.4	20.87922377
3	2014	36.1	169.6	Sunflower	2	165.7	20.58979199
4	2014	22.2	173.4	Sunflower	2	169.6	19.85122336
5	2014	72.9	177.3	Sunflower	2	173.4	18.69822047
6	2014	95.4	181.4	Sunflower	0	177.3	24.73602759
7	2014	261.2	186.1	Sunflower	0	181.4	30.27937465
8	2014	237.5	190.3	Sunflower	0	186.1	20.18570955
9	2014	188	194.2	Sunflower	0	190.3	30.72899811
10	2014	60.2	198.1	Sunflower	1	194.2	25.37836139
11	2014	14.4	201.7	Sunflower	1	198.1	31.37402737
12	2014	10.7	205.3	Sunflower	3	201.7	29.10432928
1	2015	17.4	209.4	Sunflower	3	205.3	31.55271997
2	2015	21	213.3	Sunflower	3	209.4	23.76889474
3	2015	62	217.6	Sunflower	2	213.3	33.02600836
4	2015	69.4	221.9	Sunflower	2	217.6	32.40877329
5	2015	53.8	226.4	Sunflower	2	221.9	29.23795907
6	2015	192.8	231.2	Sunflower	0	226.4	23.94878191
7	2015	242.4	235.8	Sunflower	0	231.2	29.05514567
8	2015	205.2	240.1	Sunflower	0	235.8	22.5399887
9	2015	131.8	244.3	Sunflower	0	240.1	32.07489689
10	2015	42.9	248.4	Sunflower	1	244.3	18.3315427
11	2015	39.4	252.6	Sunflower	1	248.4	28.12415402
12	2015	15	256.6	Sunflower	3	252.6	32.80991012
1	2016	19.3	260.9	Sunflower	3	256.6	23.78636574
2	2016	22.8	265.1	Sunflower	3	260.9	23.22583425
3	2016	27.6	269.7	Sunflower	2	265.1	33.8253623
4	2016	37.4	274.2	Sunflower	2	269.7	19.04611991
5	2016	62.6	278.9	Sunflower	2	274.2	18.56642262
6	2016	168.3	283.7	Sunflower	0	278.9	21.34677172
7	2016	289.1	288.6	Sunflower	0	283.7	30.00907787
8	2016	256.3	293.4	Sunflower	0	288.6	27.03137486
9	2016	171.9	297.9	Sunflower	0	293.4	26.71883533
10	2016	76.1	302.4	Sunflower	1	297.9	26.05033028
11	2016	29.7	306.8	Sunflower	1	302.4	30.3694395
12	2016	14.9	311.3	Sunflower	3	306.8	28.78852269
1	2017	19	315.8	Sunflower	3	311.3	18.33983509
2	2017	22.6	320.4	Sunflower	3	315.8	19.6948111
3	2017	27.8	325.1	Sunflower	2	320.4	30.3563092
4	2017	37.9	329.7	Sunflower	2	325.1	29.44501065
5	2017	62.4	334.5	Sunflower	2	329.7	28.05486706
6	2017	168.1	339.3	Sunflower	0	334.5	31.38841018
7	2017	289.3	344.2	Sunflower	0	339.3	33.40050912
8	2017	256.2	349.1	Sunflower	0	344.2	21.22338524
9	2017	171.5	353.8	Sunflower	0	349.1	18.7352946
10	2017	76.3	358.4	Sunflower	1	353.8	18.23077611
11	2017	29.9	363.1	Sunflower	1	358.4	24.99164198
12	2017	15	367.8	Sunflower	3	363.1	22.19621814
1	2018	19.2	372.6	Sunflower	3	367.8	33.51611578
2	2018	20.1	377.4	Sunflower	3	372.6	33.78787144
3	2018	27.1	382.3	Sunflower	2	377.4	19.48710425
4	2018	40.2	387.2	Sunflower	2	382.3	27.20410278
5	2018	62.7	392.3	Sunflower	2	387.2	18.47026526
6	2018	165	397.4	Sunflower	0	392.3	32.64513158
7	2018	286.3	402.6	Sunflower	0	397.4	28.02459078
8	2018	254.3	407.8	Sunflower	0	402.6	21.22015567
9	2018	171.9	412.9	Sunflower	0	407.8	26.47147949
10	2018	77.2	418.1	Sunflower	1	412.9	32.83757949
11	2018	28.1	423.4	Sunflower	1	418.1	26.35069978
12	2018	14.1	428.7	Sunflower	3	423.4	27.70031078
4	2012	47.5	76.8	Sugarcane	2	119.8839506	20.80792676
5	2012	31.7	77.9	Sugarcane	2	76.8	33.71081289
6	2012	117.8	79.4	Sugarcane	0	77.9	26.73023058
7	2012	250.2	81.6	Sugarcane	0	79.4	20.14345772
8	2012	262.4	84.3	Sugarcane	0	81.6	28.26343928
9	2012	193.5	82.8	Sugarcane	0	84.3	21.59305782
10	2012	58.7	80.7	Sugarcane	1	82.8	27.57306791
11	2012	30.7	79.2	Sugarcane	1	80.7	28.41587592
12	2012	11.7	77.8	Sugarcane	3	79.2	24.30812029
1	2013	11.3	77.1	Sugarcane	3	77.8	21.98731259
2	2013	40.1	78.9	Sugarcane	3	77.1	25.48430152
3	2013	15.7	81.2	Sugarcane	2	78.9	25.10154533
4	2013	30.4	83.8	Sugarcane	2	81.2	22.86833368
5	2013	57.8	86.7	Sugarcane	2	83.8	27.31427098
6	2013	219.8	89.9	Sugarcane	0	86.7	18.01291687
7	2013	310	93.4	Sugarcane	0	89.9	20.50359977
8	2013	254.7	91.2	Sugarcane	0	93.4	22.09186702
9	2013	152.7	88.6	Sugarcane	0	91.2	31.60949282
10	2013	129.4	86.4	Sugarcane	1	88.6	24.02056864
11	2013	14	84.9	Sugarcane	1	86.4	21.87262232
12	2013	6.7	83.6	Sugarcane	3	84.9	31.30110859
1	2014	19.2	85.7	Sugarcane	3	83.6	32.84334671
2	2014	27.4	88.3	Sugarcane	3	85.7	29.76864965
3	2014	36.1	92.4	Sugarcane	2	88.3	25.73845003
4	2014	22.2	96.4	Sugarcane	2	92.4	18.67396756
5	2014	72.9	99.8	Sugarcane	2	96.4	29.64433095
6	2014	95.4	103.6	Sugarcane	0	99.8	30.47662645
7	2014	261.2	108.2	Sugarcane	0	103.6	34.98355378
8	2014	237.5	111.9	Sugarcane	0	108.2	21.30866339
9	2014	188	109.3	Sugarcane	0	111.9	26.18892911
10	2014	60.2	106.5	Sugarcane	1	109.3	29.27989619
11	2014	14.4	104.1	Sugarcane	1	106.5	18.05452033
12	2014	10.7	101.9	Sugarcane	3	104.1	24.33701095
1	2015	17.4	105.2	Sugarcane	3	101.9	19.64689126
2	2015	21	108.6	Sugarcane	3	105.2	34.13109169
3	2015	62	112.6	Sugarcane	2	108.6	18.53441862
4	2015	69.4	116.4	Sugarcane	2	112.6	31.9273191
5	2015	53.8	120.5	Sugarcane	2	116.4	25.91263583
6	2015	192.8	124.9	Sugarcane	0	120.5	26.76011701
7	2015	242.4	129.1	Sugarcane	0	124.9	25.05436589
8	2015	205.2	126.9	Sugarcane	0	129.1	23.87394059
9	2015	131.8	124.1	Sugarcane	0	126.9	30.65720428
10	2015	42.9	121.6	Sugarcane	1	124.1	25.11486664
11	2015	39.4	119.3	Sugarcane	1	121.6	23.98586231
12	2015	15	117.2	Sugarcane	3	119.3	23.78983894
1	2016	19.3	115.3	Sugarcane	3	117.2	22.59264822
2	2016	22.8	118.9	Sugarcane	3	115.3	34.03376355
3	2016	27.6	123.1	Sugarcane	2	118.9	34.69149858
4	2016	37.4	127.4	Sugarcane	2	123.1	33.52707568
5	2016	62.6	132.1	Sugarcane	2	127.4	26.3753443
6	2016	168.3	136.9	Sugarcane	0	132.1	29.62447189
7	2016	289.1	142.1	Sugarcane	0	136.9	34.36982576
8	2016	256.3	139.7	Sugarcane	0	142.1	22.38631052
9	2016	171.9	136.8	Sugarcane	0	139.7	18.66926116
10	2016	76.1	133.9	Sugarcane	1	136.8	21.03941414
11	2016	29.7	131.3	Sugarcane	1	133.9	25.72724361
12	2016	14.9	129.1	Sugarcane	3	131.3	27.62054752
1	2017	19	126.9	Sugarcane	3	129.1	28.47496599
2	2017	22.6	131.2	Sugarcane	3	126.9	34.10611681
3	2017	27.8	136.1	Sugarcane	2	131.2	32.33487384
4	2017	37.9	141.2	Sugarcane	2	136.1	24.00146566
5	2017	62.4	146.6	Sugarcane	2	141.2	22.30225102
6	2017	168.1	152.3	Sugarcane	0	146.6	27.28853655
7	2017	289.3	158.4	Sugarcane	0	152.3	33.69976264
8	2017	256.2	155.6	Sugarcane	0	158.4	29.42879469
9	2017	171.5	152.3	Sugarcane	0	155.6	20.42439752
10	2017	76.3	149.1	Sugarcane	1	152.3	33.32497942
11	2017	29.9	146.2	Sugarcane	1	149.1	34.43663052
12	2017	15	143.6	Sugarcane	3	146.2	31.57202317
1	2018	19.2	141.1	Sugarcane	3	143.6	22.43119311
2	2018	20.1	146.2	Sugarcane	3	141.1	22.79772844
3	2018	27.1	151.7	Sugarcane	2	146.2	22.10035953
4	2018	40.2	157.4	Sugarcane	2	151.7	20.42137438
5	2018	62.7	163.6	Sugarcane	2	157.4	21.7100609
6	2018	165	170.1	Sugarcane	0	163.6	19.77048325
7	2018	286.3	177.2	Sugarcane	0	170.1	32.24221233
8	2018	254.3	182.6	Sugarcane	0	177.2	25.70291614
9	2018	171.9	179.1	Sugarcane	0	182.6	21.16096376
10	2018	77.2	175.4	Sugarcane	1	179.1	33.61097386
11	2018	28.1	186.3	Sugarcane	1	175.4	21.28221822
12	2018	14.1	193.1	Sugarcane	3	186.3	26.55725141
4	2012	47.5	112.3	Soyabean	2	221.7049383	28.60997498
5	2012	31.7	113.8	Soyabean	2	112.3	29.68749198
6	2012	117.8	115.6	Soyabean	0	113.8	31.87907024
7	2012	250.2	118.9	Soyabean	0	115.6	33.62360001
8	2012	262.4	122.4	Soyabean	0	118.9	29.75509161
9	2012	193.5	124.7	Soyabean	0	122.4	27.64333274
10	2012	58.7	126.9	Soyabean	1	124.7	21.26639715
11	2012	30.7	128.3	Soyabean	1	126.9	22.09927489
12	2012	11.7	129.8	Soyabean	3	128.3	19.39181385
1	2013	11.3	131.6	Soyabean	3	129.8	34.37868999
2	2013	40.1	133.9	Soyabean	3	131.6	20.05789406
3	2013	15.7	136.2	Soyabean	2	133.9	33.22663127
4	2013	30.4	138.7	Soyabean	2	136.2	30.72330098
5	2013	57.8	141.3	Soyabean	2	138.7	30.05461924
6	2013	219.8	144.1	Soyabean	0	141.3	24.89382136
7	2013	310	147.2	Soyabean	0	144.1	27.23503911
8	2013	254.7	149.8	Soyabean	0	147.2	21.7991941
9	2013	152.7	151.6	Soyabean	0	149.8	20.288389
10	2013	129.4	153.9	Soyabean	1	151.6	23.52011847
11	2013	14	156.4	Soyabean	1	153.9	25.89726405
12	2013	6.7	158.7	Soyabean	3	156.4	30.63762712
1	2014	19.2	161.3	Soyabean	3	158.7	20.57478508
2	2014	27.4	163.8	Soyabean	3	161.3	26.87911813
3	2014	36.1	167.2	Soyabean	2	163.8	32.09203163
4	2014	22.2	170.6	Soyabean	2	167.2	27.39445638
5	2014	72.9	173.9	Soyabean	2	170.6	25.83858065
6	2014	95.4	177.4	Soyabean	0	173.9	28.25736842
7	2014	261.2	181.3	Soyabean	0	177.4	27.63800454
8	2014	237.5	184.7	Soyabean	0	181.3	27.13886718
9	2014	188	187.9	Soyabean	0	184.7	30.14490833
10	2014	60.2	190.8	Soyabean	1	187.9	34.86120442
11	2014	14.4	193.4	Soyabean	1	190.8	30.16793738
12	2014	10.7	196.1	Soyabean	3	193.4	25.73305799
1	2015	17.4	199.2	Soyabean	3	196.1	22.72360251
2	2015	21	202.4	Soyabean	3	199.2	25.20746262
3	2015	62	205.8	Soyabean	2	202.4	20.03111474
4	2015	69.4	209.1	Soyabean	2	205.8	33.58340116
5	2015	53.8	212.6	Soyabean	2	209.1	30.90836341
6	2015	192.8	216.3	Soyabean	0	212.6	18.49724728
7	2015	242.4	219.7	Soyabean	0	216.3	31.98622836
8	2015	205.2	222.9	Soyabean	0	219.7	26.49814139
9	2015	131.8	225.8	Soyabean	0	222.9	30.28079136
10	2015	42.9	228.4	Soyabean	1	225.8	27.50349122
11	2015	39.4	231.2	Soyabean	1	228.4	24.81372526
12	2015	15	233.8	Soyabean	3	231.2	20.63614326
1	2016	19.3	236.7	Soyabean	3	233.8	31.16305396
2	2016	22.8	239.5	Soyabean	3	236.7	29.4219821
